name,kind
absorption,Marker
ahu,Marker
ahuRef,Ref
air,Marker
airCooled,Marker
area,Number
boiler,Marker
boilerPlant,Marker
boilerPlantRef,Ref
bypass,Marker
centrifugal,Marker
chilled,Marker
chiller,Marker
chillerPlant,Marker
chillerPlantRef,Ref
closedLoop,Marker
cmd,Marker
co2,Marker
coldDeck,Marker
condensed,Marker
condenser,Marker
cool,Marker
cooling,Marker
coolingCapacity,Number
coolingTower,Marker
current,Marker
damper,Marker
delta,Marker
dis,Str
discharge,Marker
dualDuct,Marker
effective,Marker
efficiency,Marker
elecMeter,Marker
elecMeterLoad,Ref
entering,Marker
equip,Marker
equipRef,Ref
evaporator,Marker
exhaust,Marker
faceBypass,Marker
fan,Marker
filter,Marker
flow,Marker
flowConsumption,Marker
flowRate,Marker
freezeStat,Marker
freq,Marker
gasMeter,Marker
gasMeterLoad,Ref
geoAddr,Str
geoCity,Str
geoCountry,Str
geoLat,Number
geoLon,Number
geoPostalCode,Str
geoState,Str
geoStreet,Str
heat,Marker
heatExchanger,Marker
heatWheel,Marker
heating,Marker
his,Marker
hotDeck,Marker
humidifier,Marker
humidity,Marker
hvac,Marker
id,Ref
isolation,Marker
kind,Str
kw,Marker
kwh,Marker
leaving,Marker
lightLevel,Marker
lighting,Marker
lights,Marker
lightsGroup,Marker
mixed,Marker
occupancyIndicator,Marker
occupied,Marker
openLoop,Marker
outside,Marker
perimeterHeat,Marker
pf,Marker
phase,Str
point,Marker
pressure,Marker
reciprocal,Marker
refrig,Marker
return,Marker
rooftop,Marker
screw,Marker
sensor,Marker
site,Marker
siteMeter,Marker
siteRef,Ref
sp,Marker
stage,Number
steam,Marker
submeterOf,Ref
sunrise,Marker
temp,Marker
tz,Str
unit,Str
valve,Marker
vav,Marker
volt,Marker
water,Marker
waterCooled,Marker
waterMeter,Marker
weather,Marker
weatherCond,Number
weatherPoint,Marker
weatherRef,Ref
zone,Marker
